CO2,Country of birth/nationality,VAR,Variable,GEN,Gender,COU,Country,YEA,Year,Value,Flag Codes,Flags
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2016,2016,27711,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2017,2017,27447,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2018,2018,28034,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2019,2019,35080,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2020,2020,22719,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,LUX,Luxembourg,2000,2000,2,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,LUX,Luxembourg,2001,2001,11,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,LUX,Luxembourg,2002,2002,13,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,LUX,Luxembourg,2003,2003,2,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,LUX,Luxembourg,2004,2004,15,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,LUX,Luxembourg,2005,2005,4,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,LUX,Luxembourg,2006,2006,14,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,LUX,Luxembourg,2007,2007,11,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,LUX,Luxembourg,2008,2008,11,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,LUX,Luxembourg,2009,2009,4,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,LUX,Luxembourg,2010,2010,13,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,LUX,Luxembourg,2011,2011,11,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,LUX,Luxembourg,2012,2012,12,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,LUX,Luxembourg,2013,2013,14,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,LUX,Luxembourg,2014,2014,21,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,LUX,Luxembourg,2015,2015,19,,
